sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Siskiyou County,,06093,2020-05-12,-19,9,,12,-28,6
Siskiyou County,,06093,2020-05-13,-21,10,,15,-29,7
Siskiyou County,,06093,2020-05-14,-19,13,,14,-29,7
Siskiyou County,,06093,2020-05-15,-20,7,,23,-31,5
Siskiyou County,,06093,2020-05-16,-19,8,31,18,-11,
Siskiyou County,,06093,2020-05-17,-16,8,17,23,-16,
Siskiyou County,,06093,2020-05-18,-15,7,27,24,-28,6
Siskiyou County,,06093,2020-05-19,-13,14,,6,-25,5
Siskiyou County,,06093,2020-05-20,-8,15,,16,-24,5
Siskiyou County,,06093,2020-05-21,-8,22,,33,-29,5
Siskiyou County,,06093,2020-05-22,-7,21,,44,-29,4
Siskiyou County,,06093,2020-05-23,5,32,,31,-9,
Siskiyou County,,06093,2020-05-24,12,39,,41,-12,
Siskiyou County,,06093,2020-05-25,-1,16,,49,-60,
Siskiyou County,,06093,2020-05-26,-2,26,,9,-22,3
Siskiyou County,,06093,2020-05-27,-6,22,,34,-22,4
Siskiyou County,,06093,2020-05-28,-2,26,,43,-25,4
Siskiyou County,,06093,2020-05-29,-8,16,,30,-22,4
Siskiyou County,,06093,2020-05-30,-13,12,22,12,-5,
Siskiyou County,,06093,2020-05-31,4,22,,41,-6,
Siskiyou County,,06093,2020-06-01,4,23,,33,-21,1
Siskiyou County,,06093,2020-06-02,4,33,,19,-19,1
Siskiyou County,,06093,2020-06-03,4,35,,39,-21,2
Siskiyou County,,06093,2020-06-04,3,33,,36,-20,2
Siskiyou County,,06093,2020-06-05,-2,23,,40,-21,2
Siskiyou County,,06093,2020-06-06,6,28,108,26,-2,
Siskiyou County,,06093,2020-06-07,3,23,76,34,-11,
Siskiyou County,,06093,2020-06-08,6,21,,35,-21,1
Siskiyou County,,06093,2020-06-09,3,29,,36,-19,1
Siskiyou County,,06093,2020-06-10,3,22,,39,-21,2
Siskiyou County,,06093,2020-06-11,4,30,,45,-21,2
Siskiyou County,,06093,2020-06-12,-1,27,,49,-23,3
Siskiyou County,,06093,2020-06-13,5,31,104,40,-2,
Siskiyou County,,06093,2020-06-14,15,31,,58,2,
Siskiyou County,,06093,2020-06-15,12,25,,39,-20,2
Siskiyou County,,06093,2020-06-16,11,34,,39,-19,2
Siskiyou County,,06093,2020-06-17,9,28,,39,-21,1
Siskiyou County,,06093,2020-06-18,10,32,,49,-24,1
Siskiyou County,,06093,2020-06-19,6,29,,59,-25,1
Siskiyou County,,06093,2020-06-20,21,50,,62,0,
Siskiyou County,,06093,2020-06-21,24,54,,70,-4,
Siskiyou County,,06093,2020-06-22,18,26,,58,-24,0
Siskiyou County,,06093,2020-06-23,11,35,,39,-23,1
Solano County,,06095,2020-02-15,4,-3,28,3,-2,-1
Solano County,,06095,2020-02-16,10,-4,41,16,0,-2
Solano County,,06095,2020-02-17,17,-1,24,-15,-46,10
Solano County,,06095,2020-02-18,2,-1,22,5,-2,1
Solano County,,06095,2020-02-19,2,-2,19,4,-1,0
Solano County,,06095,2020-02-20,3,-1,17,7,-1,0
Solano County,,06095,2020-02-21,2,-3,22,10,2,0
Solano County,,06095,2020-02-22,3,1,38,11,3,-1
Solano County,,06095,2020-02-23,9,3,46,11,1,-1
Solano County,,06095,2020-02-24,4,-1,22,5,3,0
Solano County,,06095,2020-02-25,3,2,24,8,4,-1
Solano County,,06095,2020-02-26,5,3,18,6,2,-1
Solano County,,06095,2020-02-27,6,3,21,9,2,-1
Solano County,,06095,2020-02-28,4,4,19,8,4,0
Solano County,,06095,2020-02-29,5,5,27,11,3,-1
Solano County,,06095,2020-03-01,7,5,17,6,2,-1
Solano County,,06095,2020-03-02,7,5,11,7,3,-1
Solano County,,06095,2020-03-03,8,10,29,8,3,-1
Solano County,,06095,2020-03-04,4,6,22,3,2,-1
Solano County,,06095,2020-03-05,5,3,23,4,2,-1
Solano County,,06095,2020-03-06,2,1,8,-1,3,0
Solano County,,06095,2020-03-07,0,3,1,-5,1,1
Solano County,,06095,2020-03-08,3,3,5,8,1,0
Solano County,,06095,2020-03-09,4,5,26,8,2,0
Solano County,,06095,2020-03-10,3,6,31,-1,2,0
Solano County,,06095,2020-03-11,3,11,24,0,1,0
Solano County,,06095,2020-03-12,5,22,22,-2,0,1
Solano County,,06095,2020-03-13,0,30,-1,-12,0,2
Solano County,,06095,2020-03-14,-14,18,-38,-23,-5,6
Solano County,,06095,2020-03-15,-15,11,-27,-17,-8,5
Solano County,,06095,2020-03-16,-2,37,-28,-22,-19,8
Solano County,,06095,2020-03-17,-16,21,-12,-30,-29,13
Solano County,,06095,2020-03-18,-21,17,-31,-36,-33,15
Solano County,,06095,2020-03-19,-28,6,-5,-32,-37,17
Solano County,,06095,2020-03-20,-36,-3,-6,-32,-39,19
Solano County,,06095,2020-03-21,-43,-8,2,-30,-28,13
Solano County,,06095,2020-03-22,-43,-16,13,-25,-31,11
Solano County,,06095,2020-03-23,-35,-17,-25,-42,-42,18
Solano County,,06095,2020-03-24,-37,-14,-42,-49,-44,21
Solano County,,06095,2020-03-25,-36,-11,-30,-42,-45,20
Solano County,,06095,2020-03-26,-34,-14,-14,-42,-44,20
Solano County,,06095,2020-03-27,-38,-13,-15,-40,-42,21
Solano County,,06095,2020-03-28,-47,-18,-41,-44,-31,16
Solano County,,06095,2020-03-29,-45,-21,-18,-37,-34,13
Solano County,,06095,2020-03-30,-33,-17,-13,-39,-43,18
Solano County,,06095,2020-03-31,-31,-7,-9,-39,-45,19
Solano County,,06095,2020-04-01,-31,-7,-10,-37,-45,19
Solano County,,06095,2020-04-02,-32,-5,-8,-37,-45,20
Solano County,,06095,2020-04-03,-35,-4,-10,-39,-44,21
Solano County,,06095,2020-04-04,-48,-14,-56,-50,-35,17
Solano County,,06095,2020-04-05,-52,-23,-52,-48,-36,14
Solano County,,06095,2020-04-06,-38,-12,-38,-47,-46,20
Solano County,,06095,2020-04-07,-36,-5,-13,-38,-46,20
Solano County,,06095,2020-04-08,-37,-9,-25,-42,-47,21
Solano County,,06095,2020-04-09,-37,-8,-24,-43,-47,21
Solano County,,06095,2020-04-10,-38,-8,-12,-40,-47,22
Solano County,,06095,2020-04-11,-43,-4,-18,-39,-35,15
Solano County,,06095,2020-04-12,-57,-28,-11,-23,-38,13
Solano County,,06095,2020-04-13,-35,-19,-5,-36,-45,19
Solano County,,06095,2020-04-14,-32,-11,-6,-33,-45,20
Solano County,,06095,2020-04-15,-36,-8,-12,-35,-45,19
Solano County,,06095,2020-04-16,-46,-11,-14,-36,-45,20
Solano County,,06095,2020-04-17,-50,-14,-20,-37,-44,21
Solano County,,06095,2020-04-18,-53,-13,-9,-21,-29,14
Solano County,,06095,2020-04-19,-54,-17,-2,-19,-30,11
Solano County,,06095,2020-04-20,-47,-16,-17,-31,-43,18
Solano County,,06095,2020-04-21,-46,-8,-7,-31,-44,19
Solano County,,06095,2020-04-22,-46,-10,-13,-32,-45,19
Solano County,,06095,2020-04-23,-45,-11,-10,-33,-45,19
Solano County,,06095,2020-04-24,-48,-11,-5,-29,-42,20
Solano County,,06095,2020-04-25,-51,-9,-2,-18,-29,13
Solano County,,06095,2020-04-26,-51,-12,7,-10,-29,10
Solano County,,06095,2020-04-27,-43,-11,-6,-29,-42,18
Solano County,,06095,2020-04-28,-43,-6,-7,-27,-43,11
Solano County,,06095,2020-04-29,-44,-9,-14,-33,-44,18
Solano County,,06095,2020-04-30,-41,-6,-11,-34,-44,18
Solano County,,06095,2020-05-01,-42,-6,-4,-32,-41,19
Solano County,,06095,2020-05-02,-47,-5,-2,-25,-26,12
Solano County,,06095,2020-05-03,-45,-7,17,-3,-26,9
Solano County,,06095,2020-05-04,-39,-6,0,-27,-40,16
Solano County,,06095,2020-05-05,-39,2,-4,-31,-41,17
Solano County,,06095,2020-05-06,-41,-6,-3,-32,-42,17
Solano County,,06095,2020-05-07,-39,-4,-2,-32,-41,17
Solano County,,06095,2020-05-08,-41,-5,-2,-30,-39,18
Solano County,,06095,2020-05-09,-42,13,8,-17,-23,10
Solano County,,06095,2020-05-10,-44,6,-1,-10,-22,7
Solano County,,06095,2020-05-11,-42,-14,-24,-38,-40,17
Solano County,,06095,2020-05-12,-42,-6,-11,-39,-40,17
Solano County,,06095,2020-05-13,-42,-6,-18,-38,-40,17
Solano County,,06095,2020-05-14,-41,-9,-13,-36,-40,17
Solano County,,06095,2020-05-15,-41,-7,7,-28,-37,17
Solano County,,06095,2020-05-16,-44,-3,14,-21,-21,10
Solano County,,06095,2020-05-17,-45,-10,0,-18,-22,10
Solano County,,06095,2020-05-18,-38,-10,-6,-32,-37,16
Solano County,,06095,2020-05-19,-39,-3,0,-32,-37,15
Solano County,,06095,2020-05-20,-37,-4,7,-32,-38,15
Solano County,,06095,2020-05-21,-35,-3,6,-29,-38,15
Solano County,,06095,2020-05-22,-37,-4,11,-27,-37,16
Solano County,,06095,2020-05-23,-39,1,19,-14,-20,8
Solano County,,06095,2020-05-24,-38,-2,32,2,-21,6
Solano County,,06095,2020-05-25,-39,-3,3,-39,-69,21
Solano County,,06095,2020-05-26,-35,-2,-10,-31,-35,14
Solano County,,06095,2020-05-27,-32,-3,-13,-31,-36,15
Solano County,,06095,2020-05-28,-31,-6,-3,-30,-36,14
Solano County,,06095,2020-05-29,-35,-8,-6,-30,-32,15
Solano County,,06095,2020-05-30,-37,-2,0,-23,-11,9
Solano County,,06095,2020-05-31,-36,-8,20,-11,-12,7
Solano County,,06095,2020-06-01,-32,-5,3,-27,-33,13
Solano County,,06095,2020-06-02,-38,-3,-6,-31,-35,14
Solano County,,06095,2020-06-03,-32,-1,-11,-37,-35,14
Solano County,,06095,2020-06-04,-30,-3,-9,-33,-34,14
Solano County,,06095,2020-06-05,-32,-4,-3,-31,-32,14
Solano County,,06095,2020-06-06,-32,2,18,-16,-13,7
Solano County,,06095,2020-06-07,-29,-5,32,0,-12,6
Solano County,,06095,2020-06-08,-25,-5,6,-26,-32,12
Solano County,,06095,2020-06-09,-27,-2,8,-29,-31,12
Solano County,,06095,2020-06-10,-26,-4,2,-29,-33,12
Solano County,,06095,2020-06-11,-23,-5,7,-27,-34,13
Solano County,,06095,2020-06-12,-26,-7,3,-26,-32,13
Solano County,,06095,2020-06-13,-27,0,29,-11,-11,6
Solano County,,06095,2020-06-14,-25,-6,31,2,-12,4
Solano County,,06095,2020-06-15,-24,-10,8,-26,-32,11
Solano County,,06095,2020-06-16,-22,-2,16,-27,-32,11
Solano County,,06095,2020-06-17,-21,-4,10,-24,-33,12
Solano County,,06095,2020-06-18,-20,-5,10,-21,-34,12
Solano County,,06095,2020-06-19,-24,-5,12,-20,-33,11
Solano County,,06095,2020-06-20,-25,3,19,-4,-11,5
Solano County,,06095,2020-06-21,-26,-2,22,3,-10,3
Solano County,,06095,2020-06-22,-23,-12,4,-24,-34,11
Solano County,,06095,2020-06-23,-23,-6,7,-25,-34,11
Sonoma County,,06097,2020-02-15,9,6,31,2,-1,-1
Sonoma County,,06097,2020-02-16,14,7,58,11,1,-2
Sonoma County,,06097,2020-02-17,11,5,76,-7,-38,8
Sonoma County,,06097,2020-02-18,1,3,35,7,2,-1
Sonoma County,,06097,2020-02-19,2,1,20,-3,2,0
Sonoma County,,06097,2020-02-20,3,3,25,5,2,-1
Sonoma County,,06097,2020-02-21,2,6,24,0,2,-1
Sonoma County,,06097,2020-02-22,6,7,36,4,2,-1
Sonoma County,,06097,2020-02-23,6,7,34,6,4,-1
Sonoma County,,06097,2020-02-24,1,2,19,2,3,0
Sonoma County,,06097,2020-02-25,1,4,42,4,4,-1
Sonoma County,,06097,2020-02-26,3,2,28,4,3,-1
Sonoma County,,06097,2020-02-27,3,7,29,5,2,-1
Sonoma County,,06097,2020-02-28,3,7,15,3,3,-1
Sonoma County,,06097,2020-02-29,7,8,17,6,4,-1
Sonoma County,,06097,2020-03-01,6,7,15,0,3,0
Sonoma County,,06097,2020-03-02,4,6,20,3,3,-1
Sonoma County,,06097,2020-03-03,4,9,38,4,4,-1
Sonoma County,,06097,2020-03-04,3,7,26,-1,2,-1
Sonoma County,,06097,2020-03-05,3,6,14,-1,2,0
Sonoma County,,06097,2020-03-06,1,7,1,-2,1,0
Sonoma County,,06097,2020-03-07,3,6,-1,-9,1,1
Sonoma County,,06097,2020-03-08,2,5,21,-1,1,1
Sonoma County,,06097,2020-03-09,1,5,27,-2,3,0
Sonoma County,,06097,2020-03-10,0,8,45,-4,3,0
Sonoma County,,06097,2020-03-11,2,7,27,-2,1,0
Sonoma County,,06097,2020-03-12,3,16,28,-5,-1,0
Sonoma County,,06097,2020-03-13,-1,20,2,-12,-2,2
Sonoma County,,06097,2020-03-14,-8,16,-14,-18,-5,4
Sonoma County,,06097,2020-03-15,-16,10,-16,-21,-6,5
Sonoma County,,06097,2020-03-16,-9,25,3,-25,-20,7
Sonoma County,,06097,2020-03-17,-20,22,4,-31,-29,11
Sonoma County,,06097,2020-03-18,-42,-11,-23,-49,-42,19
Sonoma County,,06097,2020-03-19,-39,-9,18,-41,-43,18
Sonoma County,,06097,2020-03-20,-43,-9,9,-40,-43,20
Sonoma County,,06097,2020-03-21,-48,-12,19,-42,-35,13
Sonoma County,,06097,2020-03-22,-50,-18,5,-41,-37,12
Sonoma County,,06097,2020-03-23,-43,-19,-13,-50,-44,19
Sonoma County,,06097,2020-03-24,-45,-16,-42,-54,-48,22
Sonoma County,,06097,2020-03-25,-43,-19,-39,-51,-47,21
Sonoma County,,06097,2020-03-26,-42,-16,-32,-49,-47,21
Sonoma County,,06097,2020-03-27,-45,-16,-39,-50,-46,22
Sonoma County,,06097,2020-03-28,-52,-18,-62,-55,-39,17
Sonoma County,,06097,2020-03-29,-53,-22,-58,-54,-41,15
Sonoma County,,06097,2020-03-30,-43,-20,-44,-53,-46,20
Sonoma County,,06097,2020-03-31,-41,-17,-32,-51,-47,20
Sonoma County,,06097,2020-04-01,-41,-14,-37,-50,-47,21
Sonoma County,,06097,2020-04-02,-42,-14,-35,-52,-49,21
Sonoma County,,06097,2020-04-03,-44,-13,-40,-48,-47,22
Sonoma County,,06097,2020-04-04,-55,-21,-72,-60,-42,19
Sonoma County,,06097,2020-04-05,-54,-24,-61,-55,-43,15
Sonoma County,,06097,2020-04-06,-45,-21,-53,-56,-48,21
Sonoma County,,06097,2020-04-07,-44,-18,-36,-48,-49,21
Sonoma County,,06097,2020-04-08,-45,-20,-43,-52,-49,22
Sonoma County,,06097,2020-04-09,-46,-18,-42,-52,-50,22
Sonoma County,,06097,2020-04-10,-46,-12,-44,-50,-50,23
Sonoma County,,06097,2020-04-11,-50,-14,-59,-49,-41,16
Sonoma County,,06097,2020-04-12,-63,-29,-53,-53,-44,14
Sonoma County,,06097,2020-04-13,-44,-23,-38,-49,-46,20
Sonoma County,,06097,2020-04-14,-44,-19,-31,-47,-45,20
Sonoma County,,06097,2020-04-15,-48,-17,-39,-47,-47,20
Sonoma County,,06097,2020-04-16,-58,-15,-39,-49,-46,21
Sonoma County,,06097,2020-04-17,-61,-18,-50,-49,-46,22
Sonoma County,,06097,2020-04-18,-63,-17,-54,-44,-35,15
Sonoma County,,06097,2020-04-19,-64,-21,-53,-44,-35,14
Sonoma County,,06097,2020-04-20,-58,-20,-41,-49,-45,19
Sonoma County,,06097,2020-04-21,-57,-17,-35,-47,-45,20
Sonoma County,,06097,2020-04-22,-56,-17,-36,-48,-46,20
Sonoma County,,06097,2020-04-23,-57,-15,-37,-43,-46,20
Sonoma County,,06097,2020-04-24,-58,-14,-41,-43,-44,21
Sonoma County,,06097,2020-04-25,-59,-13,-48,-40,-33,14
Sonoma County,,06097,2020-04-26,-59,-15,-47,-37,-35,12
Sonoma County,,06097,2020-04-27,-55,-16,-34,-44,-43,18
Sonoma County,,06097,2020-04-28,-55,-13,-31,-41,-44,11
Sonoma County,,06097,2020-04-29,-53,-15,-31,-45,-44,19
Sonoma County,,06097,2020-04-30,-51,-13,-30,-44,-44,19
Sonoma County,,06097,2020-05-01,-52,-8,-31,-42,-42,19
Sonoma County,,06097,2020-05-02,-55,-11,-43,-40,-32,14
Sonoma County,,06097,2020-05-03,-54,-10,-29,-32,-28,11
Sonoma County,,06097,2020-05-04,-49,-12,-22,-41,-40,16
Sonoma County,,06097,2020-05-05,-48,-5,-16,-37,-40,17
Sonoma County,,06097,2020-05-06,-49,-11,-21,-40,-41,18
Sonoma County,,06097,2020-05-07,-48,-7,-21,-38,-42,17
Sonoma County,,06097,2020-05-08,-49,-5,-28,-38,-39,18
Sonoma County,,06097,2020-05-09,-48,6,-30,-31,-27,11
Sonoma County,,06097,2020-05-10,-50,2,-26,-30,-24,9
Sonoma County,,06097,2020-05-11,-52,-18,-49,-49,-40,19
Sonoma County,,06097,2020-05-12,-50,-11,-29,-43,-40,18
Sonoma County,,06097,2020-05-13,-49,-15,-41,-46,-41,19
Sonoma County,,06097,2020-05-14,-48,-12,-27,-39,-41,18
Sonoma County,,06097,2020-05-15,-47,-9,-9,-37,-39,17
Sonoma County,,06097,2020-05-16,-48,-9,-18,-33,-25,11
Sonoma County,,06097,2020-05-17,-49,-12,-24,-39,-24,11
Sonoma County,,06097,2020-05-18,-44,-12,-21,-45,-38,17
Sonoma County,,06097,2020-05-19,-43,-10,-1,-40,-37,16
Sonoma County,,06097,2020-05-20,-42,-10,-2,-37,-37,16
Sonoma County,,06097,2020-05-21,-41,-5,4,-36,-38,15
Sonoma County,,06097,2020-05-22,-42,-4,1,-32,-37,15
Sonoma County,,06097,2020-05-23,-43,-3,6,-30,-22,9
Sonoma County,,06097,2020-05-24,-42,-2,29,-23,-22,7
Sonoma County,,06097,2020-05-25,-45,-7,36,-47,-68,21
Sonoma County,,06097,2020-05-26,-40,-7,3,-41,-35,15
Sonoma County,,06097,2020-05-27,-40,-7,1,-39,-35,15
Sonoma County,,06097,2020-05-28,-39,-4,4,-33,-34,14
Sonoma County,,06097,2020-05-29,-42,-8,-5,-32,-33,15
Sonoma County,,06097,2020-05-30,-43,-7,-15,-30,-17,11
Sonoma County,,06097,2020-05-31,-43,-9,9,-23,-14,8
Sonoma County,,06097,2020-06-01,-40,-9,5,-35,-32,13
Sonoma County,,06097,2020-06-02,-40,-5,12,-32,-33,14
Sonoma County,,06097,2020-06-03,-39,-4,13,-35,-35,14
Sonoma County,,06097,2020-06-04,-36,-2,24,-32,-34,14
Sonoma County,,06097,2020-06-05,-37,-3,15,-28,-33,13
Sonoma County,,06097,2020-06-06,-35,-1,16,-25,-16,8
Sonoma County,,06097,2020-06-07,-34,-4,29,-25,-14,7
Sonoma County,,06097,2020-06-08,-31,-7,18,-32,-31,12
Sonoma County,,06097,2020-06-09,-33,-4,27,-33,-32,12
Sonoma County,,06097,2020-06-10,-31,-4,31,-33,-33,13
Sonoma County,,06097,2020-06-11,-32,-3,23,-31,-33,12
Sonoma County,,06097,2020-06-12,-33,-4,14,-32,-32,13
Sonoma County,,06097,2020-06-13,-30,0,36,-24,-14,7
Sonoma County,,06097,2020-06-14,-29,-2,59,-24,-12,5
Sonoma County,,06097,2020-06-15,-31,-7,23,-34,-32,12
Sonoma County,,06097,2020-06-16,-30,-3,37,-31,-32,12
Sonoma County,,06097,2020-06-17,-30,-4,34,-29,-33,12
Sonoma County,,06097,2020-06-18,-27,-2,41,-24,-33,11
Sonoma County,,06097,2020-06-19,-26,-2,30,-26,-32,10
Sonoma County,,06097,2020-06-20,-24,5,48,-12,-13,5
Sonoma County,,06097,2020-06-21,-26,2,61,-18,-12,3
Sonoma County,,06097,2020-06-22,-27,-9,34,-27,-34,11
Sonoma County,,06097,2020-06-23,-27,-6,46,-26,-33,11
Stanislaus County,,06099,2020-02-15,2,-3,31,15,-2,-1
Stanislaus County,,06099,2020-02-16,8,0,42,13,-3,-2
Stanislaus County,,06099,2020-02-17,9,-1,53,0,-40,8
Stanislaus County,,06099,2020-02-18,2,-1,21,5,0,0
Stanislaus County,,06099,2020-02-19,3,-1,25,3,0,0
Stanislaus County,,06099,2020-02-20,4,0,23,5,0,0
Stanislaus County,,06099,2020-02-21,1,-2,25,4,2,0
Stanislaus County,,06099,2020-02-22,3,-1,52,6,2,-1
Stanislaus County,,06099,2020-02-23,10,0,61,12,2,-1
Stanislaus County,,06099,2020-02-24,3,0,34,1,4,0
Stanislaus County,,06099,2020-02-25,6,0,31,6,3,-1
Stanislaus County,,06099,2020-02-26,9,2,28,9,2,-1
Stanislaus County,,06099,2020-02-27,8,3,25,6,2,-1
Stanislaus County,,06099,2020-02-28,7,6,36,11,3,-2
Stanislaus County,,06099,2020-02-29,8,5,44,11,3,-2
Stanislaus County,,06099,2020-03-01,13,4,15,11,2,-1
Stanislaus County,,06099,2020-03-02,10,8,31,5,4,-1
Stanislaus County,,06099,2020-03-03,13,10,26,2,2,-2
Stanislaus County,,06099,2020-03-04,9,7,34,5,2,-1
Stanislaus County,,06099,2020-03-05,10,8,28,7,2,-1
Stanislaus County,,06099,2020-03-06,6,6,34,6,3,-1
Stanislaus County,,06099,2020-03-07,4,3,4,4,2,0
Stanislaus County,,06099,2020-03-08,7,5,25,10,1,-1
Stanislaus County,,06099,2020-03-09,6,7,40,5,3,-1
Stanislaus County,,06099,2020-03-10,6,7,21,5,2,0
Stanislaus County,,06099,2020-03-11,8,9,35,1,1,-1
Stanislaus County,,06099,2020-03-12,7,17,33,2,0,0
Stanislaus County,,06099,2020-03-13,2,24,27,-1,0,0
Stanislaus County,,06099,2020-03-14,-5,19,-2,-3,-1,3
Stanislaus County,,06099,2020-03-15,-11,18,-36,-7,-7,4
Stanislaus County,,06099,2020-03-16,-4,31,-30,-15,-9,6
Stanislaus County,,06099,2020-03-17,-10,22,-13,-6,-16,8
Stanislaus County,,06099,2020-03-18,-15,14,-6,-14,-20,9
Stanislaus County,,06099,2020-03-19,-19,12,0,-12,-28,11
Stanislaus County,,06099,2020-03-20,-33,1,3,-19,-32,14
Stanislaus County,,06099,2020-03-21,-44,-12,-19,-26,-24,12
Stanislaus County,,06099,2020-03-22,-43,-17,6,-22,-26,10
Stanislaus County,,06099,2020-03-23,-37,-18,-21,-27,-37,15
Stanislaus County,,06099,2020-03-24,-35,-14,-11,-24,-39,16
Stanislaus County,,06099,2020-03-25,-38,-19,-29,-28,-40,17
Stanislaus County,,06099,2020-03-26,-35,-15,-19,-24,-40,16
Stanislaus County,,06099,2020-03-27,-39,-14,-4,-30,-39,18
Stanislaus County,,06099,2020-03-28,-45,-17,-39,-34,-28,14
Stanislaus County,,06099,2020-03-29,-44,-19,-12,-28,-29,11
Stanislaus County,,06099,2020-03-30,-34,-16,0,-25,-38,15
Stanislaus County,,06099,2020-03-31,-33,-13,-8,-26,-40,16
Stanislaus County,,06099,2020-04-01,-30,-7,-11,-27,-40,15
Stanislaus County,,06099,2020-04-02,-33,-9,-21,-26,-41,16
Stanislaus County,,06099,2020-04-03,-36,-5,-13,-31,-40,17
Stanislaus County,,06099,2020-04-04,-45,-11,-37,-35,-29,14
Stanislaus County,,06099,2020-04-05,-53,-25,-62,-41,-35,13
Stanislaus County,,06099,2020-04-06,-37,-13,-34,-34,-41,17
Stanislaus County,,06099,2020-04-07,-36,-12,-19,-29,-42,17
Stanislaus County,,06099,2020-04-08,-36,-15,-18,-30,-42,17
Stanislaus County,,06099,2020-04-09,-37,-13,-31,-28,-43,18
Stanislaus County,,06099,2020-04-10,-39,-9,-13,-31,-47,19
Stanislaus County,,06099,2020-04-11,-42,-4,-15,-27,-32,13
Stanislaus County,,06099,2020-04-12,-58,-17,-22,-28,-35,11
Stanislaus County,,06099,2020-04-13,-34,-15,-3,-30,-41,16
Stanislaus County,,06099,2020-04-14,-32,-10,-7,-26,-41,16
Stanislaus County,,06099,2020-04-15,-32,-5,-4,-26,-41,15
Stanislaus County,,06099,2020-04-16,-41,-6,-12,-22,-41,16
Stanislaus County,,06099,2020-04-17,-46,-7,-12,-28,-40,17
Stanislaus County,,06099,2020-04-18,-49,-6,-17,-25,-25,12
Stanislaus County,,06099,2020-04-19,-48,-7,-5,-19,-27,9
Stanislaus County,,06099,2020-04-20,-41,-9,-11,-22,-38,15
Stanislaus County,,06099,2020-04-21,-40,-5,-3,-24,-40,15
Stanislaus County,,06099,2020-04-22,-40,-6,-5,-23,-40,15
Stanislaus County,,06099,2020-04-23,-41,-5,-9,-19,-40,16
Stanislaus County,,06099,2020-04-24,-44,-5,9,-23,-39,16
Stanislaus County,,06099,2020-04-25,-47,-3,4,-16,-25,11
Stanislaus County,,06099,2020-04-26,-45,-4,8,-16,-26,9
Stanislaus County,,06099,2020-04-27,-37,-5,18,-19,-37,14
Stanislaus County,,06099,2020-04-28,-37,-2,9,-16,-39,7
Stanislaus County,,06099,2020-04-29,-35,-3,6,-22,-39,14
Stanislaus County,,06099,2020-04-30,-32,-1,7,-21,-39,14
Stanislaus County,,06099,2020-05-01,-35,3,15,-22,-37,15
Stanislaus County,,06099,2020-05-02,-38,3,12,-14,-20,9
Stanislaus County,,06099,2020-05-03,-37,3,22,-10,-22,7
Stanislaus County,,06099,2020-05-04,-30,2,28,-17,-35,12
Stanislaus County,,06099,2020-05-05,-31,6,8,-18,-36,13
Stanislaus County,,06099,2020-05-06,-33,1,12,-18,-37,13
Stanislaus County,,06099,2020-05-07,-33,4,10,-16,-37,13
Stanislaus County,,06099,2020-05-08,-36,5,20,-19,-35,14
Stanislaus County,,06099,2020-05-09,-36,18,16,-12,-20,7
Stanislaus County,,06099,2020-05-10,-36,22,15,-1,-17,4
Stanislaus County,,06099,2020-05-11,-32,-3,23,-16,-33,11
Stanislaus County,,06099,2020-05-12,-32,1,8,-12,-34,12
Stanislaus County,,06099,2020-05-13,-31,-1,18,-16,-34,12
Stanislaus County,,06099,2020-05-14,-31,0,10,-12,-34,12
Stanislaus County,,06099,2020-05-15,-34,1,32,-15,-33,12
Stanislaus County,,06099,2020-05-16,-37,3,31,-9,-16,7
Stanislaus County,,06099,2020-05-17,-36,-3,7,-9,-18,7
Stanislaus County,,06099,2020-05-18,-30,-2,0,-15,-32,12
Stanislaus County,,06099,2020-05-19,-28,2,17,-12,-32,11
Stanislaus County,,06099,2020-05-20,-26,3,32,-12,-33,11
Stanislaus County,,06099,2020-05-21,-25,3,22,-7,-33,11
Stanislaus County,,06099,2020-05-22,-28,5,34,-10,-33,11
Stanislaus County,,06099,2020-05-23,-30,8,32,-6,-15,6
Stanislaus County,,06099,2020-05-24,-28,7,53,0,-18,4
Stanislaus County,,06099,2020-05-25,-28,2,53,-22,-64,17
Stanislaus County,,06099,2020-05-26,-25,2,9,-9,-31,10
Stanislaus County,,06099,2020-05-27,-23,2,5,-11,-31,10
Stanislaus County,,06099,2020-05-28,-21,3,7,-11,-32,10
Stanislaus County,,06099,2020-05-29,-25,4,32,-12,-29,10
Stanislaus County,,06099,2020-05-30,-27,4,24,-5,-7,5
Stanislaus County,,06099,2020-05-31,-23,3,38,1,-11,4
Stanislaus County,,06099,2020-06-01,-18,5,34,-6,-28,8
Stanislaus County,,06099,2020-06-02,-19,6,19,-6,-30,9
Stanislaus County,,06099,2020-06-03,-19,5,7,-13,-31,9
Stanislaus County,,06099,2020-06-04,-19,4,9,-9,-31,9
Stanislaus County,,06099,2020-06-05,-21,5,27,-11,-30,9
Stanislaus County,,06099,2020-06-06,-22,5,40,-6,-11,4
Stanislaus County,,06099,2020-06-07,-17,4,53,1,-11,3
Stanislaus County,,06099,2020-06-08,-15,3,38,-6,-28,8
Stanislaus County,,06099,2020-06-09,-15,4,30,-8,-29,8
Stanislaus County,,06099,2020-06-10,-16,1,28,-10,-30,9
